NO,KATEGORI,NAMA ALAT,BRAND,KODE ALAT,TAHUN,SPESIFIKASI,KONDISI,KETERANGAN,SUMBER FILE
  ▌ ACCESS POINT,,,,,,,,,
76,Kabel,Kabel LAN,Samsung,Binus/TKJ.05,2025,,Baik,,data_LABEL_LAN.xlsx
77,Kabel,Kabel LAN,Samsung,Binus/TKJ.06,2025,,Baik,,data_LABEL_LAN.xlsx
78,Kabel,Kabel LAN,Samsung,Binus/TKJ.07,2025,,Baik,,data_LABEL_LAN.xlsx
79,Kabel,Kabel LAN,,Binus/TKJ.08,2025,,Baik,,data_LABEL_LAN.xlsx
80,Kabel,Kabel LAN,,Binus/TKJ.09,2025,,Baik,,data_LABEL_LAN.xlsx
81,Kabel,Kabel LAN,,Binus/TKJ.10,2025,,Baik,,data_LABEL_LAN.xlsx
82,Kabel,Kabel LAN,,Binus/TKJ.11,2025,,Baik,,data_LABEL_LAN.xlsx
83,Kabel,Kabel LAN,,Binus/TKJ.12,2025,,Baik,,data_LABEL_LAN.xlsx
84,Kabel,Kabel LAN,,Binus/TKJ.13,2025,,Baik,,data_LABEL_LAN.xlsx
85,Kabel,Kabel LAN,,Binus/TKJ.14,2025,,Baik,,data_LABEL_LAN.xlsx
86,Kabel,Kabel LAN,,Binus/TKJ.15,2025,,Baik,,data_LABEL_LAN.xlsx
  ▌ KEYBOARD & MOUSE,,,,,,,,,
87,Keyboard & Mouse,Keyboard,,K/D-01.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
88,Keyboard & Mouse,Keyboard,,K/D-02.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
89,Keyboard & Mouse,Keyboard,,K/D-03.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
90,Keyboard & Mouse,Keyboard,,K/D-04.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
91,Keyboard & Mouse,Keyboard,,K/D-05.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
92,Keyboard & Mouse,Keyboard,,K/D-06.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
93,Keyboard & Mouse,Keyboard,,K/D-07.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
94,Keyboard & Mouse,Keyboard,,K/D-08.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
95,Keyboard & Mouse,Keyboard,,K/D-09.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
96,Keyboard & Mouse,Keyboard,,K/D-10.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
97,Keyboard & Mouse,Keyboard,,K/D-11.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
98,Keyboard & Mouse,Keyboard,,K/D-12.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
